Day,Month,Year,ST_14316495 (mm),ST_06037000 (mm),ST_14338000 (mm)
1,1,1981,0.0,0.0,0.0
2,1,1981,0.0,0.0,1.238333337
3,1,1981,0.211,0.0,0.054238095
4,1,1981,0.0,0.0281,0.087857144
5,1,1981,0.0,0.0,0.0
6,1,1981,0.0,0.0,0.015809524
7,1,1981,0.0,0.85110001,0.0
8,1,1981,0.0,0.0,0.0
9,1,1981,0.0,0.0,0.0
10,1,1981,0.0,0.0,0.0
11,1,1981,0.0,0.81550001,0.0
12,1,1981,0.0,0.0,0.0
13,1,1981,0.0,0.0,0.0
14,1,1981,0.0,0.0,0.0
15,1,1981,0.0,0.935900001,0.0
16,1,1981,4.133199954,0.0,0.955857144
17,1,1981,2.401599979,0.0,2.27933333
18,1,1981,0.0,0.726650009,1.303619044
19,1,1981,0.0,0.0,0.0
20,1,1981,0.0,0.599249992,0.0
21,1,1981,1.869000006,0.0,1.432047621
22,1,1981,1.861399984,0.0,2.943714301
23,1,1981,3.020000029,0.0,5.700523808
24,1,1981,7.279199982,1.293149997,5.963857129
25,1,1981,1.992199993,1.170799984,2.645285692
26,1,1981,8.700399876,2.882300019,5.730904761
27,1,1981,10.56099987,2.181049979,10.20052388
28,1,1981,9.963800049,3.60504998,10.3410476
29,1,1981,11.52819996,1.747350001,12.59657151
30,1,1981,0.725200009,1.965200001,0.694666672
31,1,1981,0.47159999,1.651200002,0.701142859
1,2,1981,0.0,3.26365,0.0
2,2,1981,0.0,3.076800013,0.0
3,2,1981,0.0,0.0,0.0
4,2,1981,0.0,0.909799996,0.0
5,2,1981,7.429399967,0.521349991,4.588047629
6,2,1981,2.878600025,0.0,3.939999989
7,2,1981,0.0,1.952700001,0.0
8,2,1981,0.0,2.953900003,0.0
9,2,1981,0.0,1.37019999,0.0
10,2,1981,0.279999997,7.888249969,0.107476192
11,2,1981,4.16239996,0.0212,4.156809489
12,2,1981,2.149199963,1.256700012,1.283285709
13,2,1981,1.444000006,0.901649988,2.317190491
14,2,1981,20.47400017,2.388049975,30.27519035
15,2,1981,2.767799973,2.399650002,2.975666642
16,2,1981,16.43059959,1.949299999,8.86319056
17,2,1981,31.08180046,8.004900002,20.90399978
18,2,1981,17.81019974,1.992399997,7.884428569
19,2,1981,19.10060005,3.116800004,10.2917143
20,2,1981,20.34099941,7.650050044,17.83109529
21,2,1981,0.0,1.342250013,0.0
22,2,1981,0.0,0.0,0.0
23,2,1981,0.0,0.0,0.0
24,2,1981,13.34740009,0.0,10.81523809
25,2,1981,4.889000034,0.0,3.853523743
26,2,1981,2.946199942,0.227249998,2.812571439
27,2,1981,2.53300004,3.469849992,1.012190475
28,2,1981,0.0,1.551449994,0.0
1,3,1981,0.0,1.105349991,0.0
2,3,1981,0.0,0.0,0.0
3,3,1981,0.0,0.555400001,0.0
4,3,1981,17.36320038,0.0,14.3690953
5,3,1981,1.535000014,0.00015,0.958285712
6,3,1981,0.0,0.0,0.0
7,3,1981,0.651599991,0.05765,1.025809515
8,3,1981,1.708799958,0.0,0.838142863
9,3,1981,0.0,0.0,0.0
10,3,1981,0.0012,0.784800003,0.0
11,3,1981,0.516799999,0.0,0.0
12,3,1981,0.0,0.0,0.0
13,3,1981,4.096199989,0.0,5.464333353
14,3,1981,0.087400003,0.0,0.62257142
15,3,1981,1.576999998,0.0,0.317952384
16,3,1981,15.95499973,0.158250002,16.469143
17,3,1981,3.017599964,2.064349988,3.233571427
18,3,1981,7.602199864,1.886700028,0.0
19,3,1981,5.890999889,0.0,1.091619032
20,3,1981,1.558000004,1.307149991,2.039571444
21,3,1981,0.795000005,5.165849972,0.677095238
22,3,1981,12.8171999,0.790199992,8.659047672
23,3,1981,0.147599997,3.91509999,0.0
24,3,1981,0.006,0.271600002,0.0
25,3,1981,12.92220001,0.0,12.72852369
26,3,1981,11.57959995,0.696550003,7.983047622
27,3,1981,8.50739994,1.807150012,4.805809543
28,3,1981,0.0,1.330100009,5.218571442
29,3,1981,9.806200027,0.0,5.842761925
30,3,1981,10.14040012,3.108949959,11.19957134
31,3,1981,6.786999989,3.32385,3.262285732
1,4,1981,14.77899971,1.332049999,9.512000016
2,4,1981,7.848399925,16.83705006,4.155380953
3,4,1981,5.432399988,1.650000006,3.485380933
4,4,1981,4.534199953,0.222100002,0.731571429
5,4,1981,0.0,0.00045,0.0
6,4,1981,2.933200026,3.025099993,1.836000007
7,4,1981,0.0,1.418550012,0.0
8,4,1981,0.0,0.361849999,0.25119048
9,4,1981,13.7814003,2.561050004,5.353523822
10,4,1981,3.764800048,6.098050046,0.228857146
11,4,1981,4.263599968,2.625049973,0.330333333
12,4,1981,18.69680042,0.0,5.917380969
13,4,1981,5.441599894,0.0,1.828809505
14,4,1981,0.129399998,0.0,0.014571428
15,4,1981,0.0,0.0,0.0
16,4,1981,1.759199977,0.0,0.157095238
17,4,1981,0.0,0.0,0.0
18,4,1981,0.0,0.0,0.0
19,4,1981,1.624399972,0.398599998,1.17814286
20,4,1981,4.595799923,0.323599998,3.187380972
21,4,1981,4.444000053,9.033200049,4.078428564
22,4,1981,0.0,6.013499987,1.396952394
23,4,1981,0.0,0.066450001,0.0
24,4,1981,4.219000053,0.0,2.107238085
25,4,1981,0.0,1.088400002,0.0
26,4,1981,8.405799961,3.182099998,7.783142953
27,4,1981,1.992799973,3.407749987,2.018190475
28,4,1981,1.076999989,0.018449999,1.20676189
29,4,1981,0.0046,0.132199999,0.0
30,4,1981,0.0,0.0,0.0
1,5,1981,0.0,0.0,0.0
2,5,1981,1.769800007,1.716649997,0.00047619
3,5,1981,3.939799976,0.354699998,0.000190476
4,5,1981,0.898799992,0.00785,0.708523807
5,5,1981,5.61340003,2.648549986,1.388666641
6,5,1981,3.326599979,4.231400001,5.918095191
7,5,1981,0.0018,15.60314999,0.0
8,5,1981,0.0,3.405850017,0.052666666
9,5,1981,1.901800013,0.834449995,2.056619054
10,5,1981,0.0,0.0,0.0
11,5,1981,0.0,21.33570023,0.0
12,5,1981,0.0,5.797150016,0.0
13,5,1981,0.668000007,0.847099999,0.0
14,5,1981,0.0,0.513300005,0.0
15,5,1981,7.577399921,2.133299997,5.194333269
16,5,1981,16.87080021,3.592550004,16.00009519
17,5,1981,2.509399939,0.526799999,1.8447619
18,5,1981,11.67259998,0.909700009,14.9636191
19,5,1981,18.42200012,0.740399995,19.22028569
20,5,1981,5.439799976,0.584200004,6.30561907
21,5,1981,4.50079999,8.418199944,0.153952381
22,5,1981,0.0,2.769900006,0.0
23,5,1981,0.0,5.520599997,0.0
24,5,1981,10.51620007,2.697549993,8.267618951
25,5,1981,14.1289999,2.111299986,14.55533336
26,5,1981,2.510599941,5.245299935,0.011714286
27,5,1981,0.0,13.51454997,0.0
28,5,1981,0.0,0.167800001,0.0
29,5,1981,0.0,0.0,0.0
30,5,1981,0.0,2.978800035,0.00047619
31,5,1981,0.0,4.892149973,0.0
1,6,1981,0.0,3.314049995,0.0
2,6,1981,0.0,0.01495,0.0
3,6,1981,0.0,1.627500004,0.0
4,6,1981,0.0,2.747349995,0.0
5,6,1981,0.0,0.2919,0.0
6,6,1981,7.643800068,0.00545,4.658619006
7,6,1981,0.112799998,0.0683,1.274904762
8,6,1981,38.42719917,11.28270001,18.31166676
9,6,1981,28.0173996,23.27750006,9.138095311
10,6,1981,4.69900012,1.745449999,0.876714287
11,6,1981,0.622400007,0.1125,0.0
12,6,1981,6.753800106,1.295499995,4.219428528
13,6,1981,10.06339989,2.235800028,9.78828571
14,6,1981,7.939599991,7.849350023,4.402809495
15,6,1981,0.025000001,3.474450016,0.0
16,6,1981,1.700199983,0.676249993,1.673380942
17,6,1981,4.259599972,9.247649956,4.177380985
18,6,1981,0.0,1.399800012,0.0
19,6,1981,5.271600056,0.930500001,0.24790476
20,6,1981,0.0,6.065599978,0.0
21,6,1981,0.0,0.0,0.0
22,6,1981,0.0,0.784900005,0.0
23,6,1981,0.0,0.0,0.0
24,6,1981,0.0,0.0,0.0
25,6,1981,0.0,0.0,0.0
26,6,1981,0.0,0.2528,0.0
27,6,1981,0.0,0.807500002,0.0
28,6,1981,0.0,2.711400017,0.0
29,6,1981,0.0,0.0,0.0
30,6,1981,0.0,0.0,0.0
1,7,1981,0.0,0.16745,0.0
2,7,1981,0.0014,0.02135,0.0
3,7,1981,0.0,0.0,0.0
4,7,1981,0.807400022,0.0,0.0
5,7,1981,1.863800001,0.0,0.154238095
6,7,1981,0.0,0.0,0.0
7,7,1981,18.5829998,3.771299982,7.397666727
8,7,1981,0.0,2.938799977,0.0
9,7,1981,0.0,0.086349997,0.0
10,7,1981,0.0,0.0,0.0
11,7,1981,0.0,0.327999997,0.0
12,7,1981,0.0,0.0,0.0
13,7,1981,0.0,0.0,0.0
14,7,1981,0.0,0.0,0.0
15,7,1981,0.0,0.0,0.0
16,7,1981,0.0,0.0,0.0
17,7,1981,0.0,1.159550001,0.0
18,7,1981,0.0,0.351999997,0.0
19,7,1981,0.0,4.138049996,0.0
20,7,1981,0.0,0.436099994,0.0
21,7,1981,0.0,0.0,0.0
22,7,1981,0.0,0.867550001,0.0
23,7,1981,0.0,4.281549974,0.0
24,7,1981,0.0,0.0,0.0
25,7,1981,0.0,1.082250004,0.0
26,7,1981,0.0,5.250149989,0.0
27,7,1981,0.0,0.633250008,0.0
28,7,1981,0.0,1.320999986,0.0
29,7,1981,0.0,0.0,0.0
30,7,1981,0.0,0.082449999,0.0
31,7,1981,0.0,1.889599991,0.0
1,8,1981,0.0,0.0,0.0
2,8,1981,0.0,0.0,0.0
3,8,1981,0.0,0.0,0.0
4,8,1981,0.0,0.0,0.0
5,8,1981,0.0,0.0,0.0
6,8,1981,0.0,0.0,0.0
7,8,1981,0.0,0.0,0.0
8,8,1981,0.0,0.0,0.0
9,8,1981,0.0,0.0,0.0
10,8,1981,0.0,0.0,0.0
11,8,1981,0.0,0.0,0.0
