word,quantity,frequency
cake,210,0.0017
birdie,84,0.0007
pencil,9,0.0001
boat,273,0.0022
bus,156,0.0013
chair,108,0.0009
table,105,0.0009
train,690,0.0057
lady,246,0.002
kiss,51,0.0004
down,795,0.0065
ring,45,0.0004
bucket,21,0.0002
all_gone,228,0.0019
teddy,417,0.0034
tea,189,0.0016
tongue,6,0.0
spoon,54,0.0004
apple,249,0.002
orange,306,0.0025
light,45,0.0004
go,1890,0.0155
chocolate,66,0.0005
Marmite,15,0.0001
milk,126,0.001
biscuit,198,0.0016
bib,30,0.0002
medicine,3,0.0
up,531,0.0044
mug,6,0.0
bottle,33,0.0003
mouse,60,0.0005
time,15,0.0001
cotton,3,0.0
lap,3,0.0
shop,132,0.0011
story,6,0.0
cardigan,12,0.0001
toothbrush,6,0.0
parcel,15,0.0001
lunch,18,0.0001
shoe,315,0.0026
balloon,24,0.0002
duck,198,0.0016
please,216,0.0018
mummie,195,0.0016
Daddy,1221,0.01
toast,63,0.0005
crispies,18,0.0001
lounge,3,0.0
sweetie,78,0.0006
no,4416,0.0363
banana,66,0.0005
crocodile,12,0.0001
supper,9,0.0001
ready,24,0.0002
pepper,6,0.0
water,201,0.0017
tree,153,0.0013
pen,96,0.0008
beer,27,0.0002
Mummy,1941,0.016
be,3909,0.0321
in,1632,0.0134
the,3342,0.0275
Mini,3,0.0
pocket,27,0.0002
byebye,162,0.0013
Sally,6,0.0
yellow,270,0.0022
one,2421,0.0199
boy,150,0.0012
way,204,0.0017
toe,60,0.0005
book,276,0.0023
away,306,0.0025
kakaka,3,0.0
nice,138,0.0011
other,99,0.0008
bike,66,0.0005
glass,24,0.0002
meow,12,0.0001
Jenny,54,0.0004
another,426,0.0035
baby,981,0.0081
buy,18,0.0001
grape,81,0.0007
piece,27,0.0002
more,990,0.0081
bread,33,0.0003
work,81,0.0007
kind,3,0.0
lion,192,0.0016
ups_a_daisy,9,0.0001
there,5328,0.0438
wipe,15,0.0001
yes,630,0.0052
dear,957,0.0079
reindeer,6,0.0
hat,417,0.0034
on,1572,0.0129
Lucky,3,0.0
behind,6,0.0
Suki,12,0.0001
where,1416,0.0116
pottie,30,0.0002
bear,96,0.0008
onion,15,0.0001
kitchen,9,0.0001
back,264,0.0022
top,66,0.0005
can,15,0.0001
paper,108,0.0009
hello,363,0.003
like,198,0.0016
curler,9,0.0001
quack,42,0.0003
bacon,15,0.0001
Kipper,9,0.0001
come,252,0.0021
fish,474,0.0039
I,831,0.0068
some,198,0.0016
doggy,57,0.0005
bone,21,0.0002
prune,9,0.0001
we,30,0.0002
love,15,0.0001
God,3,0.0
bless,3,0.0
swim,60,0.0005
dummy,12,0.0001
a,3387,0.0278
good,45,0.0004
girl,27,0.0002
night_night,54,0.0004
give,18,0.0001
me,102,0.0008
your,30,0.0002
hand,156,0.0013
pudding,15,0.0001
run,36,0.0003
bum,6,0.0
night,24,0.0002
umbrella,18,0.0001
clinic,3,0.0
lawn,3,0.0
grass,114,0.0009
wine,3,0.0
rhubarb,12,0.0001
dress,60,0.0005
gown,3,0.0
doo,3,0.0
cannot,39,0.0003
Maria,6,0.0
Lulu,24,0.0002
letter,18,0.0001
bottom,18,0.0001
do,1095,0.009
