Amount of Features,Avg Comp.-Time per Combination,F1-Score,Precision,Precision for Negatives,Recall,Recall for Negatives,Cross-Entropy,Balanced Accuracy,Accuracy,ROC-AUC-Score
7517,0.0116527628,0.9820140004,0.9826251516,0.9635214492,0.9814036089,0.9658767773,23.8632641238,0.9736401931,0.9761693540,0.9736401931
5762,0.0071157153,0.9412820004,0.9424565642,0.8828074095,0.9401103606,0.8871289598,23.8334859999,0.9136196602,0.9222497845,0.9136196602
1776,0.0070912991,0.9482348127,0.9485613098,0.8977063963,0.9479085403,0.8989211774,23.8765241027,0.9234148588,0.9313943955,0.9234148588
5703,0.0053707235,0.9392933952,0.9395198903,0.8802955542,0.9390670092,0.8811299576,23.8814492377,0.9100984834,0.9195358322,0.9100984834
1717,0.0053264076,0.9469497452,0.9474788715,0.8948740604,0.9464212095,0.8968383637,23.8662949761,0.9216297866,0.9297063213,0.9216297866
72,0.0042545178,0.9344845818,0.9274442924,0.8816672667,0.9416325754,0.8551446745,24.2584872651,0.8983886249,0.9124766129,0.8983886249
1763,0.0042495937,0.9333991563,0.9436295639,0.8554486489,0.9233881965,0.8915315540,23.3804493508,0.9074598752,0.9126489941,0.9074598752
1708,0.0041675632,0.9368997400,0.9449171677,0.8648908044,0.9290172201,0.8935083562,23.4909239175,0.9112627881,0.9170468162,0.9112627881
7394,0.0040820793,0.9357751614,0.9540191633,0.8502328769,0.9182158374,0.9129770516,22.9962888204,0.9155964445,0.9164497887,0.9155964445
68,0.0040114439,0.9318560798,0.9271477857,0.8728021331,0.9366124378,0.8552818658,24.1368743162,0.8959471518,0.9091950640,0.8959471518
5695,0.0037448440,0.9317916005,0.9402901696,0.8545861971,0.9234452795,0.8846906959,23.4649343589,0.9040679877,0.9103807101,0.9040679877
53,0.0034449715,0.9749489895,0.9748052615,0.9509942783,0.9750927600,0.9504427538,23.9000132081,0.9627677569,0.9667829889,0.9627677569
5749,0.0033256410,0.9278947829,0.9480331688,0.8338521311,0.9085941712,0.9020641058,22.8989984612,0.9053291385,0.9063928189,0.9053291385
5694,0.0032412136,0.9265755597,0.9460256093,0.8322075521,0.9079091745,0.8981416812,22.9302920114,0.9030254279,0.9046164519,0.9030254279
49,0.0031948639,0.9734214423,0.9733072504,0.9479368129,0.9735356611,0.9474993764,23.8985735532,0.9605175187,0.9647585612,0.9605175187
5694,0.0022667061,0.9322850719,0.9436934083,0.8519056780,0.9211492722,0.8919244201,23.3221812151,0.9065368461,0.9112972734,0.9065368461
1704,0.0021552264,0.9320198972,0.9429972766,0.8519362594,0.9212951511,0.8904901472,23.3430940960,0.9058926491,0.9109104669,0.9058926491
60,0.0017082028,0.9025769267,0.8909254928,0.8227074466,0.9145371516,0.7798328760,24.5261872954,0.8471850138,0.8691269524,0.8471850138
59,0.0016978876,0.8997169538,0.8898860023,0.8144147670,0.9097675451,0.7786355700,24.4267753396,0.8442015575,0.8655616052,0.8442015575
4,0.0016240973,0.8073260569,0.7531444167,0.6320005741,0.8699077157,0.4393302569,27.5971983990,0.6546189863,0.7247556182,0.6546189863
5691,0.0015799439,0.9234192712,0.9421695971,0.8272387152,0.9054006913,0.8907208780,22.9605247632,0.8980607847,0.9004519750,0.8980607847
9,0.0009054151,0.8830934759,0.8491516095,0.8115613488,0.9198617322,0.6786729858,25.8825694757,0.7992673590,0.8385545208,0.7992673590
5,0.0006618702,0.8630952381,0.8339247169,0.7577818182,0.8943804903,0.6497567972,25.6250985719,0.7720686437,0.8119153230,0.7720686437
4,0.0006615444,0.8635248176,0.8337324070,0.7595135376,0.8955253227,0.6488214018,25.6638177102,0.7721733623,0.8123588892,0.7721733623
7,0.0006526364,0.8602966355,0.8107965516,0.7786919584,0.9162337868,0.5795709653,27.0000447225,0.7479023761,0.8027412811,0.7479023761
4,0.0006520118,0.8343076252,0.7402911011,0.7963127596,0.9556781784,0.3407271140,30.8446051071,0.6482026462,0.7483718388,0.6482026462
5690,0.0006363929,0.9243183985,0.9458291571,0.8259817414,0.9037643104,0.8982165128,22.8303496564,0.9009904116,0.9018940907,0.9009904116
3,0.0000006788,0.8228245472,0.7612546046,0.6849538450,0.8952303936,0.4479109504,28.0979709720,0.6715706720,0.7444344006,0.6715706720
1,0.0000003679,0.8087437321,0.7059914418,0.6813193041,0.9465004915,0.2249126964,32.0325476701,0.5857065940,0.7032458113,0.5857065940
1,0.0000003287,0.8088749226,0.7082460842,0.6776178128,0.9428344909,0.2362746321,31.8069007156,0.5895545615,0.7046458828,0.5895545615
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
